run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
78,00:00:00.037,0,50,["b5"|"c8"|"c1"|"c9"|"b19"|"c2"|"b16"|"c13"|"b10"|"c18"|"c3"|"c7"|"b2"|"b14"|"b12"|"c5"|"c20"|"b17"|"b22"|"c22"|"c6"|"b15"|"b24"|"a"|"c10"|"c21"|"b18"|"b9"|"b8"|"c11"|"c12"|"b1"|"b0"|"b4"|"c0"|"c19"|"b6"|"c24"|"c4"|"b3"|"c14"|"b23"|"b21"|"b20"|"c16"|"c15"|"c17"|"b11"|"b13"|"b7"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
79,00:00:00.035,0,34,["c24"|"c0"|"b23"|"b21"|"b0"|"a"|"b15"|"c6"|"b22"|"b12"|"b7"|"b10"|"b16"|"b9"|"c15"|"b19"|"c3"|"b11"|"c23"|"c4"|"c13"|"c1"|"c22"|"c16"|"c14"|"b13"|"c12"|"c21"|"c17"|"b3"|"c9"|"c20"|"b4"|"b17"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
80,00:00:00.038,0,46,["c24"|"b23"|"c9"|"c10"|"c0"|"b9"|"b17"|"c2"|"b3"|"b1"|"b11"|"c8"|"c4"|"b8"|"c5"|"c11"|"b12"|"c14"|"b0"|"b5"|"c7"|"c3"|"b6"|"c17"|"c23"|"c21"|"b16"|"c20"|"c12"|"c6"|"c16"|"a"|"b10"|"c15"|"b20"|"c18"|"c19"|"c13"|"b15"|"b13"|"b22"|"b18"|"b14"|"b2"|"c1"|"b4"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
81,00:00:00.024,0,1,["b21"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
82,00:00:00.027,0,29,["c0"|"b20"|"b24"|"c5"|"b19"|"b8"|"b9"|"b15"|"c15"|"c6"|"c3"|"c2"|"b18"|"c8"|"b4"|"b14"|"b7"|"b21"|"b6"|"c9"|"c7"|"c20"|"b17"|"b11"|"b1"|"c4"|"c24"|"a"|"b23"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
83,00:00:00.026,0,29,["c13"|"b5"|"b3"|"c17"|"c4"|"c15"|"c11"|"b23"|"b9"|"c3"|"c14"|"b24"|"b20"|"c2"|"b10"|"b8"|"b13"|"c19"|"b11"|"b22"|"b21"|"c20"|"b15"|"b4"|"b12"|"b2"|"c8"|"b0"|"b18"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
84,00:00:00.023,0,0,[],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
85,00:00:00.023,0,20,["b21"|"b10"|"c5"|"b7"|"b2"|"b1"|"b3"|"a"|"c0"|"c3"|"c17"|"b20"|"c4"|"c11"|"c22"|"b13"|"c7"|"b5"|"c14"|"b19"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
86,00:00:00.036,0,27,["c8"|"b8"|"b18"|"b21"|"c17"|"b2"|"b17"|"c3"|"c21"|"b24"|"b14"|"b3"|"b16"|"c20"|"b12"|"c23"|"c6"|"c4"|"c16"|"c9"|"c13"|"b11"|"b7"|"c22"|"b19"|"c1"|"b5"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
87,00:00:00.023,0,6,["b9"|"b20"|"c1"|"c15"|"b18"|"c5"],PF-Cycle-51-args-Audience-10-Members-PAF-size-40-args.xmi
