run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
48,00:00:00.156,0,22,["a22"|"a42"|"a31"|"a50"|"a43"|"a24"|"a17"|"a36"|"a34"|"a7"|"a11"|"a35"|"a33"|"a5"|"a10"|"a40"|"a30"|"a28"|"a29"|"a48"|"a47"|"a27"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
49,00:00:00.159,0,43,["a19"|"a30"|"a36"|"a38"|"a28"|"a35"|"a8"|"a23"|"a44"|"a17"|"a5"|"a1"|"a25"|"a33"|"a15"|"a40"|"a51"|"a45"|"a43"|"a31"|"a"|"a41"|"a12"|"a21"|"a27"|"a26"|"a49"|"a22"|"a3"|"a18"|"a42"|"a39"|"a50"|"a47"|"a6"|"a20"|"a46"|"a24"|"a16"|"a9"|"a48"|"a37"|"a34"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
50,00:00:00.156,0,20,["a50"|"a2"|"a12"|"a18"|"a44"|"a33"|"a36"|"a37"|"a32"|"a1"|"a45"|"a15"|"a19"|"a46"|"a49"|"a8"|"a10"|"a24"|"a14"|"a40"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
51,00:00:00.159,0,17,["a"|"a7"|"a23"|"a50"|"a29"|"a40"|"a37"|"a27"|"a36"|"a48"|"a12"|"a35"|"a32"|"a38"|"a33"|"a18"|"a28"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
52,00:00:00.169,0,16,["a3"|"a27"|"a38"|"a18"|"a24"|"a42"|"a47"|"a34"|"a40"|"a30"|"a22"|"a1"|"a14"|"a43"|"a44"|"a2"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
53,00:00:00.198,0,34,["a48"|"a40"|"a2"|"a9"|"a34"|"a47"|"a29"|"a6"|"a11"|"a20"|"a15"|"a18"|"a8"|"a22"|"a35"|"a31"|"a27"|"a7"|"a"|"a13"|"a49"|"a38"|"a30"|"a50"|"a14"|"a42"|"a45"|"a5"|"a33"|"a23"|"a51"|"a32"|"a3"|"a46"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
54,00:00:00.156,1,6,["a31"|"a37"|"a44"|"a50"|"a45"|"a16"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
55,00:00:00.175,0,42,["a7"|"a9"|"a21"|"a4"|"a15"|"a10"|"a35"|"a27"|"a51"|"a13"|"a34"|"a49"|"a19"|"a1"|"a16"|"a3"|"a46"|"a40"|"a43"|"a32"|"a25"|"a24"|"a28"|"a47"|"a39"|"a20"|"a17"|"a30"|"a23"|"a37"|"a14"|"a48"|"a50"|"a41"|"a31"|"a22"|"a45"|"a38"|"a44"|"a33"|"a29"|"a36"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
56,00:00:00.180,0,22,["a36"|"a41"|"a30"|"a26"|"a48"|"a29"|"a5"|"a37"|"a14"|"a25"|"a3"|"a44"|"a20"|"a38"|"a6"|"a27"|"a"|"a18"|"a35"|"a39"|"a51"|"a33"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
57,00:00:00.160,0,49,["a"|"a46"|"a8"|"a1"|"a18"|"a43"|"a49"|"a14"|"a23"|"a9"|"a19"|"a13"|"a12"|"a20"|"a16"|"a42"|"a24"|"a48"|"a32"|"a50"|"a36"|"a25"|"a11"|"a3"|"a35"|"a38"|"a30"|"a44"|"a27"|"a17"|"a40"|"a7"|"a47"|"a34"|"a37"|"a29"|"a6"|"a4"|"a51"|"a5"|"a45"|"a2"|"a22"|"a26"|"a10"|"a39"|"a31"|"a41"|"a21"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
58,00:00:00.166,0,34,["a29"|"a26"|"a37"|"a"|"a24"|"a11"|"a8"|"a40"|"a9"|"a36"|"a44"|"a10"|"a46"|"a42"|"a34"|"a39"|"a47"|"a30"|"a28"|"a3"|"a21"|"a50"|"a45"|"a48"|"a15"|"a43"|"a6"|"a18"|"a35"|"a51"|"a5"|"a38"|"a16"|"a13"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
59,00:00:00.153,1,0,[],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
60,00:00:00.154,1,2,["a27"|"a4"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
61,00:00:00.159,0,50,["a"|"a6"|"a39"|"a40"|"a38"|"a12"|"a46"|"a1"|"a13"|"a31"|"a11"|"a51"|"a14"|"a50"|"a48"|"a5"|"a43"|"a28"|"a37"|"a33"|"a22"|"a10"|"a36"|"a3"|"a23"|"a19"|"a8"|"a41"|"a35"|"a42"|"a30"|"a2"|"a26"|"a4"|"a47"|"a15"|"a25"|"a17"|"a16"|"a44"|"a45"|"a24"|"a34"|"a29"|"a7"|"a21"|"a32"|"a18"|"a49"|"a27"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
62,00:00:00.156,0,28,["a33"|"a40"|"a43"|"a42"|"a37"|"a14"|"a9"|"a38"|"a26"|"a22"|"a21"|"a20"|"a48"|"a13"|"a30"|"a3"|"a5"|"a45"|"a50"|"a29"|"a27"|"a18"|"a25"|"a46"|"a35"|"a16"|"a36"|"a17"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
