run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
66,00:00:00.003,0,11,["c1"|"b4"|"c8"|"b24"|"c3"|"b16"|"b12"|"b7"|"c10"|"c11"|"c7"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
67,00:00:00.004,2,25,["b1"|"b12"|"c18"|"b23"|"c22"|"b20"|"b24"|"c17"|"c20"|"c7"|"b22"|"b2"|"c8"|"b3"|"c13"|"c14"|"b21"|"c12"|"b6"|"c21"|"c19"|"c1"|"b19"|"c11"|"b13"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
68,00:00:00.004,0,6,["b24"|"c22"|"c5"|"c8"|"c11"|"c7"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
69,00:00:00.004,0,2,["b18"|"c15"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
70,00:00:00.004,0,44,["c6"|"b8"|"b11"|"b23"|"b14"|"b24"|"c21"|"c5"|"c16"|"b22"|"b12"|"c9"|"b3"|"b1"|"c22"|"b19"|"b16"|"c0"|"b17"|"c20"|"c18"|"b6"|"c3"|"c7"|"c23"|"b18"|"b0"|"c8"|"c2"|"c1"|"b13"|"b21"|"b5"|"c17"|"b2"|"c4"|"c13"|"c11"|"a"|"b4"|"c14"|"b10"|"b9"|"b15"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
71,00:00:00.003,0,9,["c3"|"b11"|"b17"|"b15"|"c6"|"c7"|"b9"|"b8"|"c8"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
72,00:00:00.003,0,4,["b13"|"b21"|"b14"|"b4"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
73,00:00:00.003,0,24,["c10"|"c4"|"c16"|"c12"|"b21"|"c9"|"c8"|"c18"|"c23"|"c7"|"c20"|"b2"|"b5"|"b18"|"c22"|"c3"|"b16"|"b8"|"b9"|"c6"|"b15"|"b24"|"c14"|"b20"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
74,00:00:00.004,0,47,["b19"|"b13"|"c8"|"c20"|"c16"|"c17"|"b15"|"b20"|"c7"|"c24"|"c10"|"c2"|"c18"|"b5"|"c0"|"b4"|"b17"|"b10"|"b21"|"c21"|"c23"|"b3"|"b6"|"b24"|"c3"|"b7"|"b23"|"b1"|"b9"|"b8"|"b0"|"b2"|"c19"|"c5"|"c12"|"b18"|"c15"|"a"|"c4"|"b16"|"c9"|"c11"|"c22"|"b11"|"b12"|"c14"|"b14"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
75,00:00:00.003,0,25,["b18"|"b8"|"c11"|"c17"|"b15"|"b10"|"c19"|"c16"|"b13"|"b3"|"c6"|"b2"|"c18"|"b19"|"c3"|"c10"|"b1"|"b0"|"b9"|"b21"|"c0"|"c12"|"c24"|"b12"|"c4"],PF-Ladder-51-args-Audience-2-Members-PAF-size-14-args.xmi
